"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDISTOCK","INWARD","MLN_USD","A","2005",247738.81144534,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2006",301968.83404525,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2007",391967.89274058,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2008",307840.60984061,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2009",439445.64047363,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2010",527096.24961886,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2011",554930.93642088,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2012",615116.01290188,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2013",568854.60992908,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2014",582540.19028871,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2015",565804.04763644,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2016",606130.96960926,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2017",689369.00397785,
"AUS","FDISTOCK","INWARD","MLN_USD","A","2018",682880.43478261,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2005",205360.23477623,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2006",264651.95380478,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2007",341250.77180912,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2008",244302.14830215,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2009",364581.09077861,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2010",449768.26913304,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2011",418813.73146455,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2012",476541.46290709,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2013",456976.95035461,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2014",467172.73622047,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2015",415412.43515745,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2016",432015.19536903,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2017",495951.95382575,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2018",490996.61208357,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2005",32.556965625433,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2006",36.904948223277,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2007",39.788063774587,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2008",29.123704054086,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2009",43.302146394104,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2010",40.562617716414,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2011",35.878639616595,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2012",38.669332622908,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2013",36.861625290575,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2014",39.778918920363,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2015",45.350148059114,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2016",46.232895683464,
